Mozilla-Inbound-Non-PGO	WINNT 6.1 (ix)	Session Restore Test	2015-06-05 21:33:26	+3.37%	bf7d8d969d9d
Mozilla-Inbound-Non-PGO	WINNT 6.2 x64	Session Restore Test	2015-06-05 22:03:04	+3.45%	bf7d8d969d9d
Fx-Team-Non-PGO	Ubuntu HW 12.04 x64	WEBGL Terrain	2015-06-05 22:06:18	+6.68%	ead0c29ea6f2
Fx-Team-Non-PGO	WINNT 6.1 (ix)	Session Restore Test	2015-06-05 16:32:22	+3.34%	173a4adce55e
Fx-Team-Non-PGO	WINNT 5.1 (ix)	Session Restore Test	2015-06-05 16:32:50	+3.01%	173a4adce55e
Mozilla-Inbound-Non-PGO	Ubuntu HW 12.04	Session Restore Test	2015-06-05 17:05:42	+3.27%	bf7d8d969d9d
Mozilla-Inbound-Non-PGO	Ubuntu HW 12.04 x64	Session Restore Test	2015-06-05 17:34:09	+3.33%	bf7d8d969d9d
Firefox	WINNT 6.1 (ix)	Tp5 Optimized (Modified Page List Bytes)	2015-06-05 19:04:49	+11.7%	9eae3880b132
Mozilla-Inbound	Ubuntu HW 12.04 x64	WEBGL Terrain	2015-06-06 08:04:10	+7.06%	3be7f71fbf72
Mozilla-Inbound	Ubuntu HW 12.04	WEBGL Terrain	2015-06-06 08:31:07	+8.04%	3be7f71fbf72
Fx-Team-Non-PGO	Ubuntu HW 12.04	WEBGL Terrain	2015-06-05 23:05:36	+8.55%	ead0c29ea6f2
Fx-Team-Non-PGO	WINNT 5.1 (ix)	WEBGL Terrain	2015-06-06 04:34:37	+7.53%	ead0c29ea6f2
Mozilla-Inbound	WINNT 5.1 (ix)	WEBGL Terrain	2015-06-06 13:07:55	+7.52%	3be7f71fbf72
Mozilla-Inbound	Ubuntu HW 12.04	Session Restore Test	2015-06-07 05:01:29	+2.67%	86e252f5ad3e
Mozilla-Inbound	Ubuntu HW 12.04 x64	Session Restore Test	2015-06-07 05:03:33	+3%	86e252f5ad3e
Mozilla-Inbound	WINNT 5.1 (ix)	Session Restore Test	2015-06-07 15:31:48	+3.42%	c986df6d8b8c
Mozilla-Inbound	WINNT 6.2 x64	Session Restore Test	2015-06-07 17:01:25	+3.78%	c986df6d8b8c
B2g-Inbound	Ubuntu HW 12.04 x64	Session Restore Test	2015-06-08 09:04:21	+2.7%	81a5a88a057c
B2g-Inbound	Ubuntu HW 12.04 x64	WEBGL Terrain	2015-06-08 09:33:49	+7%	81a5a88a057c
B2g-Inbound	Ubuntu HW 12.04	Session Restore Test	2015-06-08 09:33:57	+3.21%	81a5a88a057c
B2g-Inbound	Ubuntu HW 12.04	WEBGL Terrain	2015-06-08 10:04:10	+8.17%	81a5a88a057c
B2g-Inbound	WINNT 6.1 (ix)	Session Restore Test	2015-06-08 11:03:44	+3.68%	81a5a88a057c
B2g-Inbound	WINNT 6.2 x64	Session Restore Test	2015-06-08 12:03:59	+3.26%	c8ccd9d907b7
Fx-Team	Ubuntu HW 12.04	Session Restore Test	2015-06-08 14:35:45	+3.11%	feb054f75ff2
Fx-Team	Ubuntu HW 12.04 x64	Session Restore Test	2015-06-08 15:02:42	+3.16%	feb054f75ff2
Fx-Team-Non-PGO	Ubuntu HW 12.04	a11y Row Major MozAfterPaint	2015-06-08 17:03:01	-2.62%	adfcc00a2734
Fx-Team	WINNT 6.2 x64	Session Restore Test	2015-06-08 17:34:47	+2.76%	feb054f75ff2
Mozilla-Inbound-Non-PGO	Ubuntu HW 12.04 x64	a11y Row Major MozAfterPaint	2015-06-08 23:31:25	+2.1%	ab4fcd2c9ca6
B2g-Inbound-Non-PGO	Ubuntu HW 12.04 x64	WEBGL Terrain	2015-06-09 01:04:01	+6.2%	699f8b29348b
B2g-Inbound-Non-PGO	WINNT 6.2 x64	Session Restore Test	2015-06-09 01:34:15	+3.5%	699f8b29348b
Fx-Team	WINNT 5.1 (ix)	Session Restore Test	2015-06-09 04:01:53	+2.16%	5d5fba7d2b31
Firefox-Non-PGO	Ubuntu HW 12.04 x64	Session Restore Test	2015-06-09 16:34:22	+3.13%	2bd39dd8c536
B2g-Inbound-Non-PGO	Ubuntu HW 12.04 x64	Session Restore Test	2015-06-09 16:34:26	+3.15%	699f8b29348b
B2g-Inbound-Non-PGO	Ubuntu HW 12.04	Session Restore Test	2015-06-09 17:01:37	+2.82%	699f8b29348b
B2g-Inbound-Non-PGO	WINNT 6.1 (ix)	Session Restore Test	2015-06-09 17:32:05	+2.31%	699f8b29348b
B2g-Inbound-Non-PGO	Ubuntu HW 12.04	WEBGL Terrain	2015-06-09 17:32:43	+8.51%	699f8b29348b
Firefox-Non-PGO	Ubuntu HW 12.04	WEBGL Terrain	2015-06-09 18:01:44	+8.6%	920ded6a1f77
Firefox-Non-PGO	Ubuntu HW 12.04 x64	WEBGL Terrain	2015-06-09 18:02:18	+7.24%	920ded6a1f77
Firefox-Non-PGO	WINNT 6.1 (ix)	Session Restore Test	2015-06-09 18:03:32	+3.25%	2bd39dd8c536
Firefox-Non-PGO	WINNT 5.1 (ix)	Session Restore Test	2015-06-09 18:03:44	+2.88%	2bd39dd8c536
Firefox-Non-PGO	WINNT 6.2 x64	Session Restore Test	2015-06-09 18:06:22	+3.77%	2bd39dd8c536
Firefox-Non-PGO	Ubuntu HW 12.04	a11y Row Major MozAfterPaint	2015-06-09 19:03:15	-2.18%	97a39c939c51
Fx-Team	Ubuntu HW 12.04 x64	WEBGL Terrain	2015-06-09 19:03:41	+7.14%	d538a04610e2
Firefox-Non-PGO	WINNT 5.1 (ix)	WEBGL Terrain	2015-06-09 19:06:29	+7.2%	920ded6a1f77
Fx-Team	Ubuntu HW 12.04	WEBGL Terrain	2015-06-09 19:32:42	+7.86%	d538a04610e2
B2g-Inbound-Non-PGO	Ubuntu HW 12.04	a11y Row Major MozAfterPaint	2015-06-09 20:02:05	-2.31%	c328e575e069
Fx-Team-Non-PGO	Ubuntu HW 12.04 x64	Tp5 Optimized	2015-06-09 21:04:24	+4.38%	fd6a02de9d0a
Firefox	Ubuntu HW 12.04 (e10s)	WEBGL Terrain	2015-06-09 22:30:54	+4.7%	920ded6a1f77
Firefox	Ubuntu HW 12.04	WEBGL Terrain	2015-06-09 22:34:35	+7.92%	920ded6a1f77
Firefox	Ubuntu HW 12.04 x64	Session Restore Test	2015-06-09 23:03:30	+4.02%	920ded6a1f77
Firefox	Ubuntu HW 12.04 x64	WEBGL Terrain	2015-06-09 23:34:23	+6.77%	920ded6a1f77
Firefox	Ubuntu HW 12.04 x64 (e10s)	WEBGL Terrain	2015-06-09 23:35:12	+8.57%	920ded6a1f77
Fx-Team	WINNT 5.1 (ix)	WEBGL Terrain	2015-06-10 02:31:30	+7.5%	d538a04610e2
Firefox	WINNT 6.1 (ix) (e10s)	WEBGL Terrain	2015-06-10 03:31:05	+73.8%	920ded6a1f77
Firefox	WINNT 5.1 (ix)	WEBGL Terrain	2015-06-10 03:33:27	+7.52%	920ded6a1f77
Firefox	WINNT 6.2 x64	Session Restore Test	2015-06-10 04:01:49	+2.95%	920ded6a1f77
Firefox	WINNT 6.2 x64 (e10s)	WEBGL Terrain	2015-06-10 04:33:10	+59.4%	920ded6a1f77
Mozilla-Inbound	Ubuntu HW 12.04 x64	Tp5 Optimized	2015-06-10 05:35:49	+2.91%	e03144903268
Mozilla-Inbound-Non-PGO	Ubuntu HW 12.04	Tp5 Optimized	2015-06-10 15:04:31	+2.73%	0c35e99b2167
Firefox-Non-PGO	Ubuntu HW 12.04 x64	TResize	2015-06-10 17:32:34	+4.12%	76ae244b637a
Firefox-Non-PGO	Ubuntu HW 12.04 x64	Tp5 Optimized	2015-06-10 18:04:16	+3.93%	76ae244b637a
Mozilla-Inbound-Non-PGO	Ubuntu HW 12.04	TResize	2015-06-11 07:34:24	+5.33%	862dd46b819f
Mozilla-Inbound	Ubuntu HW 12.04 x64	Tp5 Optimized	2015-06-11 08:31:52	+2.7%	bc32a90612e5
B2g-Inbound	Ubuntu HW 12.04	Tp5 Optimized	2015-06-11 08:33:39	+3.81%	40e2afebddd6
Mozilla-Inbound	Ubuntu HW 12.04 x64	Tp5 Optimized	2015-06-11 11:03:48	+2.8%	9fcacf4a76ca
Mozilla-Inbound-Non-PGO	Ubuntu HW 12.04	V8 version 7	2015-06-11 14:35:49	-6.02%	bf800c62eeba
Mozilla-Inbound-Non-PGO	Ubuntu HW 12.04	Tp5 Optimized (Private Bytes)	2015-06-11 18:04:42	-3.57%	d8df66c4a407
Mozilla-Inbound-Non-PGO	Ubuntu HW 12.04 x64	Tp5 Optimized (Private Bytes)	2015-06-11 18:34:40	-3%	d8df66c4a407
Mozilla-Inbound-Non-PGO	Ubuntu HW 12.04	V8 version 7	2015-06-11 18:35:05	+7.61%	4d38c2c86ba4
Mozilla-Aurora	WINNT 6.1 (ix)	Tp5 Optimized (Private Bytes)	2015-06-11 19:34:26	-3.25%	77aebefaa4de
Mozilla-Inbound-Non-PGO	WINNT 6.2 x64	V8 version 7	2015-06-11 21:05:33	+5.84%	8c6a7d5efe3a
Mozilla-Inbound-Non-PGO	WINNT 6.1 (ix)	V8 version 7	2015-06-11 22:04:54	+7.06%	8c6a7d5efe3a
B2g-Inbound	Ubuntu HW 12.04 x64	Tp5 Optimized	2015-06-12 09:02:24	+4.17%	62896b7f8e2f
B2g-Inbound	WINNT 6.2 x64	V8 version 7	2015-06-15 11:31:23	+3.17%	3c43b3c0256a
Fx-Team-Non-PGO	Ubuntu HW 12.04 x64	Devtools At Maximum Performance	2015-06-12 15:34:41	-3.66%	b93a5e3d522d
Firefox	Ubuntu HW 12.04 x64 (e10s)	Tp5 Optimized	2015-06-12 19:01:04	+6.5%	e101c589c242
Mozilla-Inbound	Ubuntu HW 12.04 x64	Tp5 Optimized (Private Bytes)	2015-06-12 19:04:36	-3.19%	219780d1c8fd
Mozilla-Inbound	Ubuntu HW 12.04	Tp5 Optimized (Private Bytes)	2015-06-12 20:33:54	-3.5%	219780d1c8fd
Fx-Team-Non-PGO	Ubuntu HW 12.04	Tp5 Optimized (Private Bytes)	2015-06-12 21:05:55	-3.6%	40dff0df156e
Fx-Team-Non-PGO	WINNT 6.2 x64	V8 version 7	2015-06-12 21:30:55	+3.03%	40dff0df156e
Mozilla-Inbound	WINNT 6.2 x64	V8 version 7	2015-06-13 01:01:01	+4.94%	4a267ce23dff
Firefox	Ubuntu HW 12.04 (e10s)	Ts, Paint	2015-06-13 02:00:42	+18.4%	54942e3f8780
Firefox	Ubuntu HW 12.04 x64 (e10s)	Ts, Paint	2015-06-13 03:01:10	+21.3%	54942e3f8780
Firefox	WINNT 6.1 (ix) (e10s)	TResize	2015-06-13 07:33:21	-15%	54942e3f8780
Firefox	WINNT 6.1 (ix) (e10s)	Ts, Paint	2015-06-13 07:33:45	+16.2%	54942e3f8780
Firefox	WINNT 5.1 (e10s)	Ts, Paint	2015-06-13 07:35:22	+8.45%	54942e3f8780
Mozilla-Beta	WINNT 6.1 (ix)	Tp5 Optimized (Private Bytes)	2015-06-13 14:31:43	-2.81%	a2c9c4c49319
Mozilla-Inbound	WINNT 6.2 x64	Devtools At Maximum Performance	2015-06-13 16:03:14	-4.88%	c7dd6508cc1c
